loanNumber,purpose,strata,clientId,dateOfBirth,cycle,province,district,submissionDate,approvalDate,disbursementDate,appliedAmount,approvedAmount,disbursedAmount,loanType,termsDuration,actualPaymentAmount,principalPaid,interestPaid,insuranceFeePaid,totalLateFeesPaid,excessAmountPaid,interestWaived,currentBalance,principalBalance,interestBalance,feesBalance,amountPastDue,principalPastDue,interestPastDue,feesPastDue,scheduledPrincipalAmount,scheduledInterestAmount,scheduledFeesAmount,scheduledPaymentAmount,lastPaymentAmount,lastPrincipalAmount,lastInterestAmount,lastFeesAmount,lastLateFeesAmount,lastExcessAmount,daysInArrears,installmentInArrears,lastPaymentDate,loanStatus,industrySectorOfActivity,businessSubSector,countrySpecific,country_code
LN-KE-2020-996626,Working capital,host,KE-KE-2024-S2-U02064,1990-05-01,4,Nairobi,Nakuru,2020-03-27,2020-04-20,2020-04-21,1035.13,1044.74,997.81,Asset Finance,3,802.59,699.71,115.3,6.44,0.0,0.0,0.0,386.14,298.1,47.56,18.52,0.0,0.0,0.0,0.0,332.6,54.29,6.17,393.06,442.86,270.3,45.26,7.97,0.0,119.32,0,0,2020-05-06,active,Construction,Hardware,Kenya,KE
LN-RW-2023-793779,Equipment,refugee,RW-RW-2020-S2-U02600,1976-04-22,3,Southern,Musanze,2023-10-26,2023-11-17,2023-11-27,544.1,560.36,540.08,Working Capital,3,399.06,307.87,44.44,0.1,0.0,46.65,0.0,224.69,232.21,32.7,6.37,0.0,0.0,0.0,0.0,180.03,25.71,2.12,207.86,278.06,177.38,27.99,6.37,0.0,66.31,0,0,2023-12-16,active,Retail & Trade,Clothing,Rwanda,RW
LN-ET-2023-889350,Stock purchase,refugee,ET-ET-2022-S3-U01455,1978-07-03,1,Tigray,Yeka,2023-03-30,2023-04-14,2023-04-27,916.33,751.37,720.11,Asset Finance,6,571.28,449.26,85.05,5.95,0.0,31.02,0.0,344.52,270.85,67.74,33.36,0.0,0.0,0.0,0.0,120.02,25.47,5.56,151.04,126.24,84.24,40.15,6.3,0.0,0.0,0,0,2023-05-21,active,Construction,Masonry,Ethiopia,ET
LN-RW-2023-270753,Rent/Utilities,host,RW-RW-2019-S3-U03093,1986-05-15,1,Northern,Gasabo,2023-03-26,2023-04-05,2023-04-08,3602.27,3184.67,2978.65,Asset Finance,12,2516.09,1973.94,436.03,16.76,0.0,89.37,0.0,1299.59,1004.72,293.53,82.06,0.0,0.0,0.0,0.0,248.22,60.8,6.84,315.86,245.33,201.45,78.35,14.07,0.0,0.0,0,0,2023-08-18,active,Retail & Trade,Clothing,Rwanda,RW
LN-ET-2023-851407,Expansion,refugee,ET-ET-2026-S2-U01977,1986-06-12,2,Tigray,Hawassa,2023-08-12,2023-08-24,2023-08-26,158.92,150.19,148.87,Seasonal Loan,18,56.24,44.61,8.74,0.74,0.0,2.15,0.0,131.15,104.26,23.94,3.38,0.0,0.0,0.0,0.0,10.0,1.82,0.19,12.0,12.49,8.98,4.36,0.56,0.0,0.0,0,0,2023-10-03,active,Professional Services,Tailoring,Ethiopia,ET
LN-RW-2026-158863,Rent/Utilities,refugee,RW-RW-2019-S2-U03087,1987-07-15,3,Western,Rwamagana,2026-03-22,2026-04-01,2026-04-12,1414.25,1421.06,1317.21,Inventory Loan,12,480.62,420.25,39.93,2.84,0.0,17.6,0.0,1059.07,896.96,129.15,44.3,0.0,0.0,0.0,0.0,109.77,14.09,3.69,127.55,146.1,81.15,24.2,11.08,0.0,29.66,0,0,2026-07-31,active,ICT,Cybercafe,Rwanda,RW
LN-RW-2024-192428,Equipment,refugee,RW-RW-2021-S1-U01806,2003-02-03,2,Southern,Nyarugenge,2024-03-15,2024-03-27,2024-04-07,374.67,389.77,363.03,Asset Finance,3,282.26,230.34,38.07,3.99,0.0,9.86,0.0,156.0,132.69,23.74,7.22,0.0,0.0,0.0,0.0,121.01,20.61,2.41,144.02,135.4,81.79,18.09,7.22,0.0,28.3,0,0,2024-06-30,active,Retail & Trade,Clothing,Rwanda,RW
LN-RW-2020-810109,Working capital,host,RW-RW-2024-S1-U01027,1992-02-23,1,Western,Musanze,2020-02-04,2020-02-18,2020-02-19,416.75,386.2,368.52,Seasonal Loan,12,115.48,94.7,10.28,1.6,0.0,8.9,0.0,311.6,273.82,30.95,11.43,0.0,0.0,0.0,0.0,30.71,3.44,0.95,35.1,37.34,24.52,7.74,2.86,0.0,2.23,0,0,2020-05-09,active,ICT,Cybercafe,Rwanda,RW
LN-RW-2022-618632,Working capital,host,RW-RW-2023-S1-U03326,1992-06-23,2,Kigali City,Gasabo,2022-12-08,2022-12-19,2023-01-01,1070.3,882.4,861.79,Seasonal Loan,6,625.96,468.18,93.57,9.15,13.9,41.16,0.0,430.77,393.61,61.88,10.14,64.61,39.36,6.19,1.01,143.63,25.91,4.01,173.55,187.55,156.18,35.34,6.08,8.76,0.0,6,2,2023-03-06,active,Manufacturing,Furniture,Rwanda,RW
LN-RW-2022-140794,Emergency,refugee,RW-RW-2019-S2-U02415,1997-06-29,2,Southern,Gasabo,2022-02-08,2022-03-07,2022-03-10,256.36,239.75,237.72,Asset Finance,6,99.38,79.22,10.75,1.02,0.0,8.39,0.0,181.22,158.5,20.77,8.48,0.0,0.0,0.0,0.0,39.62,5.25,1.41,46.29,38.55,32.52,10.43,1.86,0.0,0.0,0,0,2022-05-01,active,Professional Services,Hair Salon,Rwanda,RW
LN-RW-2020-827334,Working capital,host,RW-RW-2026-S2-U04495,1993-03-18,1,Kigali City,Rwamagana,2020-01-26,2020-01-31,2020-02-01,455.75,476.38,448.38,Working Capital,9,228.14,173.79,19.25,1.84,4.0,29.26,0.0,292.46,274.58,38.79,5.98,43.87,27.46,3.88,0.6,49.82,6.45,1.11,57.38,70.63,57.31,16.59,3.33,0.89,0.0,21,1,2020-05-19,active,Hospitality and Tourism,Restaurant,Rwanda,RW
LN-RW-2025-497736,Equipment,host,RW-RW-2025-S2-U01038,1980-02-04,4,Kigali City,Kicukiro,2025-11-13,2025-12-02,2025-12-13,652.09,614.61,578.15,Emergency Loan,9,740.68,548.9,110.93,5.86,0.0,74.99,0.0,12.24,29.25,32.79,25.09,0.0,0.0,0.0,0.0,64.24,15.97,2.79,83.0,77.5,54.01,7.87,2.07,0.0,13.54,0,0,2026-07-17,closed,Retail & Trade,Phone Accessories,Rwanda,RW
LN-RW-2025-684900,Emergency,host,RW-RW-2018-S3-U04739,1978-06-11,2,Kigali City,Kicukiro,2025-05-08,2025-05-24,2025-05-31,1196.81,1181.05,1170.3,Emergency Loan,24,817.55,604.31,126.78,8.93,0.0,77.54,0.0,694.27,565.99,155.25,42.99,0.0,0.0,0.0,0.0,48.76,11.75,1.79,62.3,48.6,30.51,7.87,3.0,0.0,7.21,0,0,2025-10-28,active,Retail & Trade,Phone Accessories,Rwanda,RW
LN-RW-2024-330679,Rent/Utilities,refugee,RW-RW-2022-S1-U04632,1983-06-13,2,Kigali City,Musanze,2024-03-16,2024-03-30,2024-04-13,419.4,323.04,295.29,Inventory Loan,6,354.11,295.29,47.29,3.74,0.0,7.78,0.0,0.0,0.0,0.0,4.45,0.0,0.0,0.0,0.0,49.21,7.88,0.74,57.84,50.78,31.17,11.5,1.47,0.0,6.64,0,0,2024-06-28,closed,Personal Services,Childcare,Rwanda,RW
LN-RW-2019-498918,Stock purchase,host,RW-RW-2020-S1-U01579,1988-02-17,2,Western,Huye,2019-10-23,2019-11-15,2019-11-23,416.42,435.2,431.56,Asset Finance,9,386.16,290.45,84.97,2.19,0.0,8.55,0.0,184.78,141.11,43.33,7.85,0.0,0.0,0.0,0.0,47.95,14.25,0.87,63.08,73.66,43.95,22.43,2.62,0.0,4.67,0,0,2020-07-20,active,Professional Services,Tailoring,Rwanda,RW
LN-ET-2021-266605,Rent/Utilities,refugee,ET-ET-2020-S1-U03594,1991-03-22,3,SNNPR,Bahir Dar,2021-06-12,2021-06-25,2021-07-05,159.72,152.27,138.08,Emergency Loan,9,111.2,77.38,20.55,0.47,0.0,12.79,0.0,62.58,60.7,10.99,3.42,0.0,0.0,0.0,0.0,15.34,3.5,0.38,19.23,13.83,11.7,2.34,0.21,0.0,0.0,0,0,2021-11-02,active,Professional Services,Consulting,Ethiopia,ET
LN-RW-2026-734211,Expansion,refugee,RW-RW-2020-S2-U02049,1983-06-11,2,Northern,Huye,2026-08-19,2026-09-07,2026-09-19,100.0,103.03,96.84,Asset Finance,9,27.24,20.98,2.87,0.15,1.1,2.15,0.4,88.31,75.86,12.9,0.82,13.25,7.59,1.29,0.08,10.76,1.8,0.21,12.77,9.08,5.04,1.75,0.15,0.34,1.79,1,1,2026-10-05,restructured,Agriculture,Vegetables,Rwanda,RW
LN-ET-2021-459769,Expansion,host,ET-ET-2023-S3-U04045,1975-10-08,1,Tigray,Hawassa,2021-11-03,2021-11-05,2021-11-14,208.65,175.85,164.65,Working Capital,9,91.2,77.66,9.19,0.74,0.0,3.61,0.0,107.47,86.99,15.8,7.41,0.0,0.0,0.0,0.0,18.29,2.78,0.82,21.89,23.72,16.41,6.37,1.24,0.0,0.0,0,0,2022-05-01,active,Professional Services,Repairs,Ethiopia,ET
LN-RW-2025-193971,Working capital,host,RW-RW-2020-S3-U01806,1980-02-17,2,Kigali City,Huye,2025-01-29,2025-02-12,2025-02-16,392.44,389.78,377.86,Working Capital,18,458.28,320.2,71.71,7.29,0.0,59.08,0.0,4.78,57.66,0.0,6.12,0.0,0.0,0.0,0.0,20.99,3.98,0.34,25.32,22.84,17.64,2.46,1.02,0.0,1.72,0,0,2025-05-29,closed,Professional Services,Repairs,Rwanda,RW
LN-RW-2022-303363,Stock purchase,refugee,RW-RW-2026-S1-U00003,1991-11-02,1,Southern,Nyarugenge,2022-06-09,2022-06-29,2022-07-11,228.27,194.54,179.27,Inventory Loan,12,114.6,93.7,9.66,0.46,0.0,10.78,0.0,88.75,85.58,9.77,3.83,0.0,0.0,0.0,0.0,14.94,1.62,0.32,16.88,23.47,18.82,4.86,0.96,0.0,0.0,0,0,2022-08-01,active,Retail & Trade,Grocery,Rwanda,RW
LN-RW-2022-861411,Working capital,host,RW-RW-2023-S2-U02798,1972-05-19,3,Southern,Kicukiro,2022-10-21,2022-11-04,2022-11-05,408.27,407.32,386.27,Asset Finance,12,354.62,260.73,64.35,0.96,0.0,28.57,0.0,156.65,125.54,48.45,10.8,0.0,0.0,0.0,0.0,32.19,9.4,0.9,42.49,41.88,32.38,4.85,0.02,0.0,4.63,0,0,2023-01-13,active,Retail & Trade,Grocery,Rwanda,RW
LN-RW-2025-925849,Rent/Utilities,host,RW-RW-2020-S1-U01759,1987-08-12,3,Western,Nyarugenge,2025-07-08,2025-07-14,2025-07-27,515.2,454.38,424.82,Asset Finance,18,511.73,376.41,67.23,4.26,0.0,63.83,0.0,0.41,48.41,0.0,15.83,0.0,0.0,0.0,0.0,23.6,3.73,0.88,28.22,32.43,22.24,11.08,0.88,0.0,0.0,0,0,2025-12-19,closed,Professional Services,Hair Salon,Rwanda,RW
LN-ET-2025-342915,Rent/Utilities,refugee,ET-ET-2018-S2-U04800,2000-02-10,2,Amhara,Hawassa,2025-05-24,2025-05-28,2025-06-11,389.11,402.41,385.15,Asset Finance,6,347.4,267.17,49.41,2.42,0.0,28.41,0.0,121.78,117.98,23.98,7.37,0.0,0.0,0.0,0.0,64.19,12.23,1.23,77.65,80.9,60.9,16.41,3.48,0.0,0.1,0,0,2025-07-05,active,Agriculture,Vegetables,Ethiopia,ET
LN-ET-2019-166636,Equipment,refugee,ET-ET-2023-S3-U03815,1995-06-21,4,Oromia,Bole,2019-02-28,2019-03-08,2019-03-15,1040.08,782.43,776.56,Asset Finance,24,615.27,430.11,104.1,3.16,15.64,62.27,0.0,396.72,346.45,101.88,8.62,59.51,34.64,10.19,0.86,32.36,8.58,1.01,41.95,37.3,23.28,8.12,1.43,0.73,3.74,11,2,2019-05-29,active,Manufacturing,Soap,Ethiopia,ET
LN-ET-2021-837880,Rent/Utilities,refugee,ET-ET-2023-S3-U01557,1993-10-29,3,Oromia,Bole,2021-05-27,2021-06-26,2021-07-05,232.3,199.37,185.93,Emergency Loan,18,37.91,28.69,6.96,0.36,4.88,0.0,0.0,197.66,157.24,34.19,1.34,29.65,15.72,3.42,0.13,10.33,2.29,0.35,12.96,7.58,5.19,0.96,0.58,0.28,0.57,39,1,2021-10-15,defaulted,Agriculture,Dairy,Ethiopia,ET
LN-SS-2019-889761,Expansion,refugee,SS-SS-2026-S2-U01490,1982-01-05,2,Western Equatoria,Yambio,2019-08-28,2019-09-09,2019-09-12,707.98,544.42,531.75,Asset Finance,24,710.84,498.77,121.48,6.34,0.0,84.25,0.0,10.64,32.98,36.65,25.16,0.0,0.0,0.0,0.0,22.16,6.59,1.05,29.79,23.11,17.48,3.77,0.79,0.0,1.07,0,0,2019-11-11,closed,Professional Services,Tailoring,South Sudan,SS
LN-KE-2023-219375,Working capital,refugee,KE-KE-2026-S1-U00490,2001-05-24,2,Nairobi,Mombasa,2023-08-01,2023-08-17,2023-08-29,480.11,396.01,379.95,Emergency Loan,6,144.83,112.96,28.51,0.34,0.0,3.02,0.0,330.73,266.99,60.94,5.03,0.0,0.0,0.0,0.0,63.33,14.91,0.84,79.07,84.77,61.39,21.79,2.52,0.0,0.0,0,0,2023-10-19,active,Manufacturing,Crafts,Kenya,KE
LN-RW-2021-529316,Expansion,refugee,RW-RW-2022-S2-U03964,1981-03-07,2,Eastern,Rwamagana,2021-05-09,2021-05-13,2021-05-27,371.84,347.5,332.28,Working Capital,24,26.61,20.08,3.43,0.28,2.95,0.0,0.0,380.93,312.2,56.83,7.82,57.14,31.22,5.68,0.78,13.84,2.51,0.45,16.8,12.8,8.4,2.69,0.58,0.53,0.6,85,8,2021-09-24,defaulted,Professional Services,Consulting,Rwanda,RW
LN-KE-2026-339350,Working capital,refugee,KE-KE-2019-S1-U04159,1987-03-29,1,Rift Valley,Kisumu,2026-02-23,2026-03-16,2026-03-17,598.23,609.49,594.16,Seasonal Loan,3,60.78,52.51,5.59,0.16,3.0,0.0,0.0,635.06,541.65,65.93,25.29,95.26,54.16,6.59,2.53,198.05,23.84,9.43,231.32,223.19,157.22,47.79,6.29,6.69,5.21,16,1,2026-04-09,defaulted,Manufacturing,Soap,Kenya,KE
LN-RW-2023-547859,Rent/Utilities,refugee,RW-RW-2022-S3-U03482,1994-09-27,1,Western,Rubavu,2023-07-16,2023-08-08,2023-08-22,587.78,578.93,561.11,Working Capital,9,682.81,561.11,104.83,3.47,6.95,6.44,0.0,6.81,0.0,0.0,13.22,1.02,0.0,0.0,1.32,62.35,11.65,2.24,76.23,77.99,64.65,21.7,6.3,1.29,0.0,17,2,2023-09-29,closed,Construction,Masonry,Rwanda,RW
LN-RW-2025-332629,Working capital,refugee,RW-RW-2024-S1-U04356,1985-02-23,3,Western,Gasabo,2025-11-04,2025-11-27,2025-12-04,427.8,418.96,412.32,Asset Finance,3,190.56,150.32,21.5,1.14,0.0,17.6,0.0,297.66,262.0,46.72,4.77,0.0,0.0,0.0,0.0,137.44,22.74,1.59,161.77,159.07,102.02,22.72,3.88,0.0,30.45,0,0,2026-01-29,active,Manufacturing,Furniture,Rwanda,RW
LN-KE-2022-656368,Equipment,host,KE-KE-2026-S2-U03263,2003-05-22,2,Western,Nairobi,2022-12-09,2022-12-31,2023-01-04,100.0,100.0,98.96,Inventory Loan,3,38.19,31.61,3.65,0.3,0.0,2.63,0.0,73.13,67.35,6.37,1.47,0.0,0.0,0.0,0.0,32.99,3.34,0.49,36.82,23.04,17.84,6.76,1.47,0.0,0.0,0,0,2023-01-27,active,Retail & Trade,Phone Accessories,Kenya,KE
LN-RW-2022-129001,Rent/Utilities,refugee,RW-RW-2025-S1-U04180,1993-12-25,1,Southern,Gasabo,2022-05-21,2022-06-03,2022-06-11,958.91,854.95,835.9,Working Capital,9,592.46,400.84,101.2,4.71,0.0,85.71,0.0,493.14,435.06,106.03,33.84,0.0,0.0,0.0,0.0,92.88,23.03,3.76,119.66,128.43,102.42,43.73,11.28,0.0,0.0,0,0,2022-08-30,active,Personal Services,Childcare,Rwanda,RW
LN-RW-2025-546766,Working capital,host,RW-RW-2025-S1-U03629,1992-03-25,1,Northern,Rwamagana,2025-07-26,2025-08-15,2025-08-27,245.03,206.92,199.62,Emergency Loan,24,164.43,130.91,19.15,2.04,0.0,12.32,0.0,81.32,68.71,16.15,7.77,0.0,0.0,0.0,0.0,10.0,1.47,0.32,11.79,12.41,8.55,2.0,0.84,0.0,1.03,0,0,2025-12-31,active,Transport,Taxi,Rwanda,RW
LN-ET-2022-222149,Working capital,refugee,ET-ET-2020-S3-U00093,1974-05-11,1,Amhara,Bole,2022-09-05,2022-09-22,2022-10-02,375.77,321.9,289.81,Inventory Loan,12,159.27,128.72,27.25,0.12,0.37,2.8,0.0,189.22,161.08,27.62,3.17,28.38,16.11,2.76,0.32,24.15,4.57,0.29,29.02,43.52,34.29,8.58,0.88,0.59,0.0,3,3,2022-12-01,active,ICT,Cybercafe,Ethiopia,ET
LN-KE-2023-193203,Expansion,refugee,KE-KE-2024-S1-U02133,1976-03-05,1,Rift Valley,Kajiado,2023-12-08,2024-01-03,2024-01-11,327.56,295.07,266.21,Emergency Loan,6,228.77,179.19,44.48,1.69,4.38,0.0,0.0,112.63,87.03,17.17,6.63,16.9,8.7,1.72,0.66,44.37,10.28,1.84,56.48,69.69,41.84,23.8,3.57,0.02,0.47,6,2,2024-02-18,active,Manufacturing,Crafts,Kenya,KE
LN-ET-2021-360120,Expansion,refugee,ET-ET-2019-S3-U01071,1994-08-26,2,SNNPR,Bole,2021-09-18,2021-10-07,2021-10-14,309.86,300.05,271.57,Asset Finance,9,350.79,239.77,61.67,3.05,0.0,46.3,0.0,0.0,31.79,5.01,6.28,0.0,0.0,0.0,0.0,30.17,7.41,0.7,38.28,35.21,27.64,5.57,2.09,0.0,0.0,0,0,2021-11-17,closed,Professional Services,Repairs,Ethiopia,ET
LN-RW-2025-123535,Stock purchase,refugee,RW-RW-2024-S2-U01633,1999-04-19,1,Eastern,Huye,2025-03-27,2025-04-05,2025-04-19,254.03,245.71,239.19,Emergency Loan,9,313.97,239.19,67.32,2.11,0.0,5.35,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,26.58,7.48,0.34,34.39,41.57,27.36,13.16,1.01,0.0,0.04,0,0,2025-06-16,closed,Retail & Trade,Pharmacy,Rwanda,RW
LN-ET-2020-299157,Emergency,host,ET-ET-2020-S1-U01950,1986-05-29,3,Oromia,Bahir Dar,2020-08-02,2020-09-01,2020-09-15,484.92,383.19,352.6,Seasonal Loan,6,343.56,255.2,73.45,0.24,0.0,14.67,0.0,120.44,97.4,25.44,12.19,0.0,0.0,0.0,0.0,58.77,16.48,2.03,77.28,75.8,50.43,9.56,1.23,0.0,14.59,0,0,2020-10-27,active,Agriculture,Dairy,Ethiopia,ET
LN-RW-2024-730511,Rent/Utilities,refugee,RW-RW-2021-S3-U00082,1980-10-21,3,Eastern,Rubavu,2024-01-10,2024-01-11,2024-01-25,423.26,388.97,364.08,Inventory Loan,24,168.51,110.94,32.56,1.55,0.0,23.47,0.0,309.08,253.14,58.89,17.69,0.0,0.0,0.0,0.0,15.17,3.81,0.74,19.72,23.33,13.53,4.0,1.29,0.0,4.5,0,0,2024-04-12,active,Agriculture,Vegetables,Rwanda,RW
LN-ET-2020-540724,Stock purchase,host,ET-ET-2018-S3-U03013,1998-11-27,3,Addis Ababa,Kirkos,2020-07-23,2020-08-03,2020-08-07,196.87,194.24,180.92,Asset Finance,6,88.59,83.1,5.28,0.49,0.0,0.0,0.0,110.4,97.82,9.71,1.98,0.0,0.0,0.0,0.0,30.15,2.5,0.33,32.98,43.07,26.47,7.5,0.99,0.0,8.12,0,0,2020-11-05,active,Agriculture,Grains,Ethiopia,ET
LN-ET-2019-619308,Stock purchase,host,ET-ET-2022-S3-U01225,2002-03-23,2,Amhara,Bole,2019-05-31,2019-06-16,2019-06-17,855.12,838.26,769.08,Seasonal Loan,3,346.77,268.74,62.64,1.92,0.0,13.48,0.0,604.47,500.34,97.75,16.52,0.0,0.0,0.0,0.0,256.36,53.46,5.51,315.33,254.8,173.72,76.27,16.52,0.0,0.0,0,0,2019-07-11,active,Manufacturing,Furniture,Ethiopia,ET
LN-ET-2021-823016,Stock purchase,host,ET-ET-2026-S2-U02941,1984-06-20,2,Addis Ababa,Bole,2021-06-22,2021-07-18,2021-07-29,529.63,456.63,436.97,Seasonal Loan,6,262.0,204.39,43.07,3.5,3.34,7.7,1.11,317.3,232.58,74.74,12.33,47.59,23.26,7.47,1.23,72.83,19.82,2.61,95.26,96.24,58.97,16.89,2.09,3.29,15.0,45,7,2021-08-27,restructured,Professional Services,Repairs,Ethiopia,ET
LN-ET-2020-458401,Stock purchase,host,ET-ET-2026-S3-U02024,1986-11-11,4,Amhara,Kirkos,2020-10-23,2020-11-16,2020-11-24,1234.26,940.59,914.41,Working Capital,12,221.42,172.68,20.17,3.21,7.96,17.4,0.0,838.44,741.73,74.82,27.14,125.77,74.17,7.48,2.71,76.2,7.92,2.92,87.04,81.18,58.64,17.2,0.86,1.85,2.63,73,3,2021-06-20,defaulted,Construction,Hardware,Ethiopia,ET
LN-KE-2021-696479,Working capital,host,KE-KE-2023-S1-U04063,2003-02-27,7,Central,Nairobi,2021-09-04,2021-09-14,2021-09-24,584.52,612.63,553.57,Working Capital,6,404.01,348.18,31.36,5.94,0.0,18.53,0.0,222.4,205.39,25.38,6.89,0.0,0.0,0.0,0.0,92.26,9.46,1.15,102.87,85.06,62.8,12.31,3.44,0.0,6.51,0,0,2022-02-09,active,Agriculture,Poultry,Kenya,KE
LN-SS-2021-106418,Emergency,refugee,SS-SS-2020-S3-U04038,1974-09-19,1,Central Equatoria,Juba,2021-10-03,2021-10-04,2021-10-15,391.55,307.66,287.16,Asset Finance,3,340.78,267.39,39.11,1.43,0.0,32.85,0.0,0.0,19.77,0.12,7.83,0.0,0.0,0.0,0.0,95.72,13.08,2.61,111.41,95.41,71.32,14.66,6.54,0.0,2.87,0,0,2022-01-07,closed,Manufacturing,Furniture,South Sudan,SS
LN-RW-2024-787126,Rent/Utilities,refugee,RW-RW-2025-S1-U00078,2007-08-17,1,Southern,Nyarugenge,2024-09-13,2024-09-14,2024-09-22,947.7,785.45,723.37,Asset Finance,9,425.72,341.95,89.0,0.7,0.0,0.0,0.0,496.21,381.41,98.96,9.07,0.0,0.0,0.0,0.0,80.37,20.88,1.01,102.27,120.98,90.38,13.21,1.01,0.0,16.39,0,0,2025-02-23,active,Hospitality and Tourism,Restaurant,Rwanda,RW
LN-RW-2024-573983,Equipment,refugee,RW-RW-2019-S1-U03263,1976-02-03,1,Western,Nyarugenge,2024-01-22,2024-01-28,2024-01-28,426.02,324.26,292.53,Asset Finance,6,109.7,97.4,9.09,0.34,5.79,0.0,0.0,220.25,195.13,18.03,3.47,33.04,19.51,1.8,0.35,48.75,4.52,1.54,54.82,40.86,33.17,8.78,2.86,1.87,0.0,30,2,2024-05-27,defaulted,Retail & Trade,Clothing,Rwanda,RW
LN-ET-2023-427606,Emergency,host,ET-ET-2025-S2-U01626,1999-12-02,3,Tigray,Mekelle,2023-02-11,2023-02-22,2023-03-07,672.85,516.5,515.97,Working Capital,9,259.36,184.85,55.04,2.22,0.0,17.24,0.0,412.29,331.12,83.2,11.68,0.0,0.0,0.0,0.0,57.33,15.36,1.3,73.99,83.0,54.72,28.02,3.89,0.0,0.0,0,0,2023-08-28,active,Retail & Trade,Clothing,Ethiopia,ET
LN-RW-2024-416586,Rent/Utilities,refugee,RW-RW-2020-S1-U04168,1980-02-21,1,Southern,Huye,2024-08-24,2024-09-09,2024-09-14,247.96,218.36,209.33,Asset Finance,9,122.42,85.51,17.29,0.44,1.89,17.28,3.85,148.19,123.81,29.43,7.83,22.23,12.38,2.94,0.78,23.26,5.62,1.08,29.96,36.45,24.49,4.92,3.03,0.68,3.33,41,6,2024-10-24,restructured,Retail & Trade,Pharmacy,Rwanda,RW
LN-KE-2020-816932,Rent/Utilities,host,KE-KE-2018-S1-U02531,1980-04-09,3,Rift Valley,Nakuru,2020-10-31,2020-11-20,2020-12-04,100.0,100.0,94.16,Asset Finance,12,60.0,51.67,6.12,0.94,0.0,1.27,0.0,47.16,42.49,3.98,1.22,0.0,0.0,0.0,0.0,10.0,1.0,0.1,11.1,6.73,5.47,1.35,0.3,0.0,0.0,0,0,2021-03-26,active,Professional Services,Tailoring,Kenya,KE
LN-SS-2024-182112,Equipment,host,SS-SS-2020-S1-U01852,1979-12-17,3,Eastern Equatoria,Torit,2024-04-07,2024-05-05,2024-05-17,238.18,213.84,206.28,Seasonal Loan,24,78.44,69.78,8.41,0.65,0.0,0.0,0.0,162.51,136.5,21.66,2.58,0.0,0.0,0.0,0.0,10.0,1.25,0.11,11.36,7.92,5.16,1.06,0.13,0.0,1.56,0,0,2024-06-20,active,Transport,Taxi,South Sudan,SS
LN-RW-2026-768129,Rent/Utilities,refugee,RW-RW-2025-S3-U00973,2005-02-05,2,Eastern,Huye,2026-11-24,2026-12-21,2026-12-26,501.44,466.13,466.05,Inventory Loan,3,63.94,50.19,6.29,0.81,6.15,0.49,0.0,475.81,415.86,46.29,8.13,71.37,41.59,4.63,0.81,155.35,17.53,4.76,177.64,167.88,116.32,32.79,7.15,0.73,10.89,70,6,2027-03-02,defaulted,Hospitality and Tourism,Catering,Rwanda,RW
LN-ET-2021-286701,Emergency,host,ET-ET-2018-S3-U00379,2000-02-28,3,Tigray,Mekelle,2021-04-19,2021-04-21,2021-04-28,486.72,505.75,467.37,Working Capital,12,41.13,32.43,5.13,0.24,3.49,0.0,0.0,532.98,434.94,84.88,9.93,79.95,43.49,8.49,0.99,38.95,7.5,1.12,47.57,41.15,30.79,13.19,2.07,1.29,0.0,33,5,2021-05-26,defaulted,Hospitality and Tourism,Restaurant,Ethiopia,ET
LN-SS-2024-180922,Expansion,refugee,SS-SS-2021-S1-U04670,1990-01-22,1,Western Equatoria,Torit,2024-03-25,2024-04-01,2024-04-10,442.34,452.5,450.53,Emergency Loan,18,338.61,294.65,36.76,0.15,0.0,7.05,0.0,183.58,155.88,22.5,12.18,0.0,0.0,0.0,0.0,25.03,3.29,0.68,29.0,29.48,18.32,9.74,0.1,0.0,1.31,0,0,2024-07-24,active,Construction,Paint,South Sudan,SS
LN-RW-2023-882308,Equipment,host,RW-RW-2022-S2-U03313,1987-04-02,2,Southern,Huye,2023-02-26,2023-03-20,2023-04-02,542.38,411.92,387.45,Working Capital,18,220.37,162.4,45.43,0.61,0.0,11.92,0.0,285.34,225.05,53.02,18.39,0.0,0.0,0.0,0.0,21.53,5.47,1.02,28.02,29.23,24.48,9.33,2.37,0.0,0.0,0,0,2023-06-01,active,Manufacturing,Furniture,Rwanda,RW
LN-KE-2023-340845,Emergency,refugee,KE-KE-2020-S1-U01370,1979-12-10,2,Rift Valley,Nairobi,2023-03-19,2023-04-14,2023-04-17,1135.62,929.89,892.31,Asset Finance,9,297.22,238.67,52.66,1.95,0.0,3.95,0.0,822.31,653.64,146.84,20.39,0.0,0.0,0.0,0.0,99.15,22.17,2.27,123.58,120.54,82.13,20.97,6.8,0.0,10.64,0,0,2023-08-15,active,Agriculture,Dairy,Kenya,KE
LN-RW-2020-776935,Equipment,refugee,RW-RW-2023-S2-U04413,1992-08-06,3,Northern,Gasabo,2020-01-02,2020-01-31,2020-02-08,215.01,201.49,194.27,Emergency Loan,24,84.82,76.32,6.33,0.98,0.0,1.19,0.0,134.55,117.95,10.44,5.8,0.0,0.0,0.0,0.0,10.0,1.0,0.24,11.24,13.64,7.71,3.0,0.26,0.0,2.67,0,0,2020-04-05,active,ICT,Cybercafe,Rwanda,RW
